Caption,File Name in Drive,Drive File,Mime type,Link
The Buddhist Caves of Afghanistan 🇦🇫,BuddhistCavesDay6Afghanistan.mp4,BuddhistCavesDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1qIjQyNcCFNzD_PUwd1wVv4K08Dov14b3/view?usp=sharing
Giving Kids Cancer in Afghanistan 🇦🇫,CandyDay6Afghanistan.mp4,CandyDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/16uYvMg2gK8iD-C-HyQc-POdaav0QKAou/view?usp=sharing
Stealing Taliban Flags in Afghanistan 🇦🇫,DigitalJihadDay6Afghanistan.mp4,DigitalJihadDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1YKJf1gHlxbK3YBLVtHyNt5JRUrkltgOd/view?usp=sharing
You Need to Fear Less in Life 🇦🇫,FearLessDay6Afghanistan.mp4,FearLessDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/156VONEaTCwSkidDCerRKvkWqzDyfg_uo/view?usp=sharing
How much to swim in this water? 🇦🇫,FreezingWaterDay6Afghanistan.mp4,FreezingWaterDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1eXhOjTrCS1t6pBk5cgkt7gasCCBboEke/view?usp=sharing
Blessing the Kids of Afghanistan 🇦🇫,GivingBatsDay6Afghanistan.mp4,GivingBatsDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/19-XGNli2zOXltL7Kn2x10A8qPzEJRd5u/view?usp=sharing
Inside a Taliban Graveyard 🇦🇫,GraveyardDay6Afghanistan.mp4,GraveyardDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1QtRvSXMUZvS3T0I6XvZ_U_tUqRDPwgpr/view?usp=sharing
Are Women Oppressed in Afghanistan? 🇦🇫,HijabDay6Afghanistan.mp4,HijabDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1bnWPff19kfkxM4S7EDuJd5Hnnucshs5H/view?usp=sharing
Hunting for Taliban Members in Afghanistan 🇦🇫,HuntingDay6Afghanistan.mp4,HuntingDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1qVtjOUtpGZgEq6clJqC9DrRr5SkLnvIA/view?usp=sharing
Taliban Member Misses a Prayer 🇦🇫,MissingPrayerDay6Afghanistan.mp4,MissingPrayerDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1nssh9CHO9VysXrP_TQgQzubhHb4fGG-o/view?usp=sharing
Why You Should Travel the World 🇦🇫,MotivationalSpeechDay6Afghanistan.mp4,MotivationalSpeechDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/13-9motfIO7RlOeiSO3V2V4RONHI4GI5t/view?usp=sharing
The Real President of America 🇺🇸,PresidentDay6Afghanistan.mp4,PresidentDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1iF2aPJ2Ot4elr0poR9nQufezfGnuKpvs/view?usp=sharing
The Taliban Fix the Roads in Afghanistan 🇦🇫,RoadConstructionDay6Afghanistan.mp4,RoadConstructionDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1oPtDJBQrx3ksEs3aF_Mstoe6cLquVeda/view?usp=sharing
World's Oldest Trading Route 🇦🇫,SilkRoadDay6Afghanistan.mp4,SilkRoadDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1MXUtc780r3e6xiD5WDtWwszZWpVIR__q/view?usp=sharing
Stranded in the Afghan Desert 🇦🇫,StrandedDay6Afghanistan.mp4,StrandedDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/13vvsvpS_3JLG7TKxZbJCQOlFeMvKmgsm/view?usp=sharing
Why You Should NEVER Show Fear 🇦🇫,SulaymanDay6Afghanistan.mp4,SulaymanDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1wiYEOFRUKpilK3mheC2FRmVXTAY4ssv1/view?usp=sharing
Taliban Member UNLOADS His Tank 🇦🇫,UnloadingTankDay6Afghanistan.mp4,UnloadingTankDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1NzZ06aDAKfLpe74qtoyD-nDuNDKPT5HY/view?usp=sharing
Women Can Travel to Afghanistan 🇦🇫,WomenDay6Afghanistan.mp4,WomenDay6Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1YPUNy5fw3_IXBGehsAtBkJzs963HOBE4/view?usp=sharing
Taking Apart AK with the Taliban 🇦🇫,TakingApartAKMDay7Afghanistan.mp4,TakingApartAKMDay7Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1fxhAvebSC1jnDE9B6XV9NHdLG78dsgzS/view?usp=sharing
Shooting an AK with the Taliban 🇦🇫,EyelinerDay7Afghanistan.mp4,EyelinerDay7Afghanistan.mp4,video/mp4,https://drive.google.com/file/d/1BntfrNXL6anu9inn14seeyyxFOJfhmXj/view?usp=sharing
