id,name,iso,emoji,emoji_code
196,Serbia,SRB,🇷🇸,U+1F1F7 U+1F1F8
197,Seychelles,SYC,🇸🇨,U+1F1F8 U+1F1E8
198,Sierra Leone,SLE,🇸🇱,U+1F1F8 U+1F1F1
199,Singapore,SGP,🇸🇬,U+1F1F8 U+1F1EC
250,Sint Maarten (Dutch part),SXM,🇸🇽,U+1F1F8 U+1F1FD
200,Slovakia,SVK,🇸🇰,U+1F1F8 U+1F1F0
201,Slovenia,SVN,🇸🇮,U+1F1F8 U+1F1EE
202,Solomon Islands,SLB,🇸🇧,U+1F1F8 U+1F1E7
203,Somalia,SOM,🇸🇴,U+1F1F8 U+1F1F4
204,South Africa,ZAF,🇿🇦,U+1F1FF U+1F1E6
205,South Georgia,SGS,🇬🇸,U+1F1EC U+1F1F8
116,South Korea,KOR,🇰🇷,U+1F1F0 U+1F1F7
206,South Sudan,SSD,🇸🇸,U+1F1F8 U+1F1F8
207,Spain,ESP,🇪🇸,U+1F1EA U+1F1F8
208,Sri Lanka,LKA,🇱🇰,U+1F1F1 U+1F1F0
209,Sudan,SDN,🇸🇩,U+1F1F8 U+1F1E9
210,Suriname,SUR,🇸🇷,U+1F1F8 U+1F1F7
211,Svalbard and Jan Mayen Islands,SJM,🇸🇯,U+1F1F8 U+1F1EF
213,Sweden,SWE,🇸🇪,U+1F1F8 U+1F1EA
214,Switzerland,CHE,🇨🇭,U+1F1E8 U+1F1ED
215,Syria,SYR,🇸🇾,U+1F1F8 U+1F1FE
216,Taiwan,TWN,🇹🇼,U+1F1F9 U+1F1FC
217,Tajikistan,TJK,🇹🇯,U+1F1F9 U+1F1EF
218,Tanzania,TZA,🇹🇿,U+1F1F9 U+1F1FF
219,Thailand,THA,🇹🇭,U+1F1F9 U+1F1ED
17,The Bahamas,BHS,🇧🇸,U+1F1E7 U+1F1F8
80,The Gambia ,GMB,🇬🇲,U+1F1EC U+1F1F2
63,Timor-Leste,TLS,🇹🇱,U+1F1F9 U+1F1F1
220,Togo,TGO,🇹🇬,U+1F1F9 U+1F1EC
221,Tokelau,TKL,🇹🇰,U+1F1F9 U+1F1F0
222,Tonga,TON,🇹🇴,U+1F1F9 U+1F1F4
223,Trinidad and Tobago,TTO,🇹🇹,U+1F1F9 U+1F1F9
224,Tunisia,TUN,🇹🇳,U+1F1F9 U+1F1F3
225,Turkey,TUR,🇹🇷,U+1F1F9 U+1F1F7
226,Turkmenistan,TKM,🇹🇲,U+1F1F9 U+1F1F2
227,Turks and Caicos Islands,TCA,🇹🇨,U+1F1F9 U+1F1E8
228,Tuvalu,TUV,🇹🇻,U+1F1F9 U+1F1FB
229,Uganda,UGA,🇺🇬,U+1F1FA U+1F1EC
230,Ukraine,UKR,🇺🇦,U+1F1FA U+1F1E6
231,United Arab Emirates,ARE,🇦🇪,U+1F1E6 U+1F1EA
232,United Kingdom,GBR,🇬🇧,U+1F1EC U+1F1E7
233,United States,USA,🇺🇸,U+1F1FA U+1F1F8
234,United States Minor Outlying Islands,UMI,🇺🇲,U+1F1FA U+1F1F2
235,Uruguay,URY,🇺🇾,U+1F1FA U+1F1FE
236,Uzbekistan,UZB,🇺🇿,U+1F1FA U+1F1FF
237,Vanuatu,VUT,🇻🇺,U+1F1FB U+1F1FA
238,Vatican City State (Holy See),VAT,🇻🇦,U+1F1FB U+1F1E6
239,Venezuela,VEN,🇻🇪,U+1F1FB U+1F1EA
240,Vietnam,VNM,🇻🇳,U+1F1FB U+1F1F3
241,Virgin Islands (British),VGB,🇻🇬,U+1F1FB U+1F1EC
242,Virgin Islands (US),VIR,🇻🇮,U+1F1FB U+1F1EE
243,Wallis and Futuna Islands,WLF,🇼🇫,U+1F1FC U+1F1EB
244,Western Sahara,ESH,🇪🇭,U+1F1EA U+1F1ED
245,Yemen,YEM,🇾🇪,U+1F1FE U+1F1EA
246,Zambia,ZMB,🇿🇲,U+1F1FF U+1F1F2
247,Zimbabwe,ZWE,🇿🇼,U+1F1FF U+1F1FC
